Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",Pololu_Breakout-16_15.2x20.3mm,3,Pololu_Breakout_DRV8825,
"C1, C2",0805,2,C_Small,
"C7, C8, C9",CP_Radial_D8.0mm_P3.50mm,3,C_Polarized,
"D1, D3, D4",1206,3,LED_Small,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole,
"J1, J6",TerminalBlock_Altech_AK300-2_P5.00mm,2,Conn_01x02,
"J10, J2, J4",Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,3,Conn_01x04,
"J11, J16, J17",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
"J12, J13, J14, J15, J18, J19, J20, J21, J22, J3",PinHeader_1x03_P2.54mm_Vertical,10,Conn_01x03,
"J23, J5",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,2,Conn_01x05,
"J7, J8, J9",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,3,Conn_01x04,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,1,R,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,R,
"R3, R4, R5",1206,3,R_Small,
"SW3, SW4, SW5",SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,3,SW_DIP_x03,
Tir.1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
